flyer,html_exists,pdf_exists,pdf_pages,page_width_pt,page_height_pt,a4_portrait,render_ok,html_a4,fixed_height_risk,absolute_footer_risk,qr_decoded_count,qr_values,auto_status,notes
flyer-photo,True,True,1,594.96,841.92,True,True,True,True,True,1,https://lin.ee/YxJGXV6D,PASS,fixed-height+absolute-footer-risk
flyer-reform,True,True,1,594.96,841.92,True,True,True,True,True,3,https://dpro-shop.com/ | https://lin.ee/YxJGXV6D | https://dpromstk2000-lab.github.io/dpro-reform-line-liff/owner.html?demo=1&v=reform-10,PASS,fixed-height+absolute-footer-risk
flyer-repair,True,True,1,594.96,841.92,True,True,True,True,True,2,https://dpro-shop.com/ | https://lin.ee/YxJGXV6D,PASS,fixed-height+absolute-footer-risk
flyer-salesnavi,True,True,1,594.96,841.92,True,True,True,True,True,1,https://dpro-shop.com/,PASS,fixed-height+absolute-footer-risk
flyer-salon,True,True,1,594.96,841.92,True,True,True,True,True,2,https://dpro-shop.com/ | https://lin.ee/YxJGXV6D,PASS,fixed-height+absolute-footer-risk
flyer-school,True,True,1,594.96,841.92,True,True,True,True,True,2,https://dpro-shop.com/ | https://dpromstk2000-lab.github.io/dpro-school-line/owner.html?v=school-next-10,PASS,fixed-height+absolute-footer-risk
flyer-seitai,True,True,1,594.96,841.92,True,True,True,True,True,3,https://dpro-shop.com/ | https://lin.ee/YxJGXV6D | https://dpromstk2000-lab.github.io/dpro-seitai-line/index.html,PASS,fixed-height+absolute-footer-risk
flyer-sharoushi,True,True,1,594.96,841.92,True,True,True,True,True,2,https://lin.ee/YxJGXV6D | https://dpro-shop.com/,PASS,fixed-height+absolute-footer-risk
flyer-shiho,True,True,1,594.96,841.92,True,True,True,True,True,3,https://lin.ee/YxJGXV6D | https://dpro-shop.com/ | https://dpromstk2000-lab.github.io/dpro-shiho-inheritance-line-liff/index.html?demo=1&v=SHIHO-12-R1,PASS,fixed-height+absolute-footer-risk
flyer-sodan,True,True,1,594.96,841.92,True,True,True,True,True,3,https://lin.ee/YxJGXV6D | https://dpro-shop.com/ | https://dpromstk2000-lab.github.io/dpro-sodan-line/,PASS,fixed-height+absolute-footer-risk
flyer-stay,True,True,1,594.96,841.92,True,True,True,True,True,2,https://dpro-shop.com/ | https://lin.ee/YxJGXV6D,PASS,fixed-height+absolute-footer-risk
flyer-takeout,True,True,1,595.28,841.89,True,True,True,True,True,1,https://dpromstk2000-lab.github.io/dpro-takeout-line-liff/index.html?preview=1&v=takeout-18-check,PASS,fixed-height+absolute-footer-risk
flyer-tax,True,True,1,595.28,841.89,True,True,True,True,True,2,https://lin.ee/YxJGXV6D | https://dpro-shop.com/,PASS,fixed-height+absolute-footer-risk
flyer-vet,True,True,1,594.96,841.92,True,True,True,True,True,3,https://lin.ee/YxJGXV6D | https://dpro-shop.com/ | https://dpromstk2000-lab.github.io/DPRO-VET-QR/today-board.html?clinic_code=dpro_vet_demo&demo=ready&v=vet-today-board-1,PASS,fixed-height+absolute-footer-risk
flyer-welfare,True,True,1,594.96,841.92,True,True,True,True,True,1,https://lin.ee/YxJGXV6D,PASS,fixed-height+absolute-footer-risk
flyer-welfare-shuttle,True,True,1,594.96,841.92,True,True,True,True,True,2,https://lin.ee/YxJGXV6D | https://dpro-shop.com/,PASS,fixed-height+absolute-footer-risk
flyer-yakiniku,True,True,1,595.28,841.89,True,True,True,True,True,2,https://dpro-shop.com/ | https://lin.ee/YxJGXV6D,PASS,fixed-height+absolute-footer-risk
flyer-yoga,True,True,1,594.96,841.92,True,True,True,True,True,2,https://lin.ee/YxJGXV6D | https://dpro-shop.com/,PASS,fixed-height+absolute-footer-risk
